Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
 Pakistan ,1200,1200,1200,1800,2600,2900,3200,2900,2700,2400,2400,2400,2400,2600,3600,3600,4800,5000,6400,8200,9000,10200,10200,10800,10800,14400,17900,19200,20800
 Sri Lanka ,3700,3600,3600,4300,5200,7100,6000,7000,8200,9600,8700,7200,8500,9500,10200,11300,11900,12800,13400,16400,17100,18900,19600,21600,25200,30600,35600,41900,43800
 Other Southern and Central Asia ,0,0,0,0,400,1200,1200,1200,1200,1200,1200,1200,1200,1200,2400,2100,1800,2400,2400,2400,2400,3500,3600,3600,3600,4400,5600,7400,7700
 Total Southern and Central Asia ,15800,15200,15900,19400,27100,33600,38700,43600,48900,59800,64800,58300,64500,72400,85600,102700,114400,135600,151200,177500,190400,205000,224100,255700,292900,338300,397800,473200,532200
 Canada ,55200,49600,50300,54200,58800,60700,65900,71600,77000,86400,93800,89600,87800,102400,106600,115900,122900,133000,129200,135900,131200,137000,136200,139700,141800,153600,167600,179700,191600
 United States of America ,266500,258600,278700,290700,300600,314800,334600,374100,413400,460400,452200,430600,422900,430100,443500,452500,464300,456000,486600,478400,472400,498900,514200,565300,615200,714500,778700,782100,820200
 Argentina ,2500,3300,3600,5700,4300,5300,5100,7100,9000,9400,6900,3800,3600,3600,4000,5300,6000,6000,7800,7800,8300,13400,15100,11300,10700,18600,23500,28800,23900
 Brazil ,2400,2400,2800,3900,4600,7200,8400,8200,8200,12600,11800,10200,8600,10100,12700,16900,20200,24800,26600,28500,30600,33100,35900,44900,45600,47000,56300,60000,57800
 Chile ,1200,1200,1200,1900,2400,2400,2400,2400,2400,3400,3600,2700,3600,3600,4700,6500,8600,9800,10000,9300,10900,13600,16400,16800,17800,22400,25000,31000,29000
 Colombia ,300,500,100,1200,1200,1200,2000,1300,1400,2400,2400,1400,1200,1200,1800,2800,4400,5600,6700,6500,7200,8700,9900,10800,11600,13900,15500,18600,21600
 Mexico ,1300,1900,1900,2400,1700,2400,2400,2400,3900,4800,4800,5400,4800,5200,5400,6000,7200,6500,6800,6900,6700,6700,7400,8800,8800,9100,10900,11800,13400
 Other Americas ,2400,2400,2400,3100,4600,4800,4800,5100,6300,7800,7900,6600,5100,5400,6500,7300,9200,9600,10400,10800,10800,13000,13400,13200,14400,14800,17200,18900,19200
 Total Americas ,332000,320000,342000,362500,377500,398700,425700,473600,521900,586800,583000,550800,538000,561600,584900,613000,642500,650800,683700,683600,677900,724500,748500,811300,866200,993700,1094600,1131000,1177400
 South Africa ,9100,14900,25700,30400,32600,41700,45700,56100,58800,57300,55000,50600,47700,50000,50500,55900,58500,66300,59700,60500,59900,56700,54500,55100,54400,56000,56500,59000,60400
 Other Sub-Saharan Africa ,8400,7900,9200,11200,9500,9900,11500,13700,13800,17000,17500,16400,16200,16800,17300,19200,21700,23000,23300,25700,25700,26400,25300,26500,25700,26300,31000,32500,31700
 Total Sub-Saharan Africa ,17400,22900,35200,41500,42200,51600,56700,70000,72900,74200,72300,67200,63900,66600,67800,75000,80100,89600,82900,85900,85600,83000,80300,81600,80100,82400,87400,91100,92400
 Total (Country of stay/residence) ,2376200,2573500,2969600,3350300,3705900,4146900,4305800,4172200,4478200,4833900,4899000,4820600,4896300,5198100,5439800,5451900,5603200,5511400,5588600,5860100,5902600,6153000,6443200,6965100,7438600,8241100,8818000,9218400,9449000
